step,lr,train_loss,eval_loss,eval_ppl,wallclock_s,vram_mb
0,0.0,6.976387023925781,,,0.5078079700469971,700.841796875
50,0.00015,6.490124187469482,,,1.413489818572998,744.35693359375
100,0.0003,5.655445222854614,,,2.2607312202453613,744.630859375
150,0.00029915114833558773,5.095761556625366,,,3.033921241760254,744.630859375
200,0.00029661526814454614,4.694862489700317,,,3.833247184753418,744.630859375
200,0.00029661526814454614,5.484048364162445,4.504120253700821,90.38878985688318,3.9241464138031006,744.630859375
250,0.0002924242495916296,4.4260594844818115,,,4.712794780731201,744.630859375
300,0.00028663079716682654,4.280725822448731,,,5.318541765213013,744.85693359375
350,0.00027930776689581835,4.175859394073487,,,5.87350869178772,744.85693359375
400,0.000270547250133184,4.0488887119293215,,,6.501648187637329,744.85693359375
400,0.000270547250133184,4.232883353233337,3.930681122410727,50.94166336381531,6.529678583145142,744.85693359375
450,0.0002604594154601839,3.9350081062316895,,,7.12070107460022,744.85693359375
500,0.000249171123250929,3.8938892126083373,,,7.6446850299835205,744.85693359375
550,0.0002368243303295704,3.8291149044036867,,,8.232690811157227,744.85693359375
600,0.0002235743047808703,3.7515552186965944,,,8.824729681015015,744.85693359375
600,0.0002235743047808703,3.852391860485077,3.6917591595184813,40.11535422956444,8.85285210609436,744.85693359375
650,0.00020958767336394754,3.6744539833068846,,,9.479628086090088,744.85693359375
700,0.0001950403260841024,3.639759511947632,,,10.062419176101685,744.85693359375
750,0.00018011520427394653,3.6388444471359254,,,10.567858695983887,744.85693359375
800,0.00016499999999999997,3.5926717281341554,,,11.150447368621826,744.85693359375
800,0.00016499999999999997,3.6364324176311493,3.517331113703028,33.69438188116646,11.178581476211548,744.85693359375
850,0.0001498847957260534,3.5024838781356813,,,11.788561820983887,744.85693359375
900,0.00013495967391589754,3.5167065811157228,,,12.356744766235352,744.85693359375
950,0.00012041232663605247,3.486536855697632,,,12.877329349517822,744.85693359375
1000,0.00010642569521912965,3.440429267883301,,,13.454466104507446,744.85693359375
1000,0.00010642569521912965,3.4865391457080843,3.4409551460178043,31.216760497733755,13.482553482055664,744.85693359375
1050,9.317566967042956e-05,3.422525019645691,,,14.036282777786255,744.85693359375
1100,8.082887674907097e-05,3.397752857208252,,,14.589577436447144,744.85693359375
1150,6.954058453981609e-05,3.4010630226135254,,,15.123245477676392,744.85693359375
1200,5.945274986681597e-05,3.360491213798523,,,15.625528335571289,744.85693359375
1200,5.945274986681597e-05,3.3954580283164977,3.378444152030987,29.325110188643723,15.653711557388306,744.85693359375
1250,5.0692233104181636e-05,3.337895669937134,,,16.206921100616455,744.85693359375
1300,4.336920283317343e-05,3.347535057067871,,,16.729132652282715,744.85693359375
1350,3.7575750408370376e-05,3.3276127433776854,,,17.263239860534668,744.85693359375
1400,3.3384731855453814e-05,3.3192560052871705,,,17.80431318283081,744.85693359375
1400,3.3384731855453814e-05,3.3330748689174654,3.3503547486485235,28.512846743704838,17.832297801971436,744.85693359375
1450,3.084885166441225e-05,3.2886241769790647,,,18.35376501083374,744.85693359375
